binary;function;function count;common linux file;networking;
/mydlink/tsa (-rwxr-xr-x root root);printf;9;false;yes;
/mydlink/signalc (-rwxr-xr-x root root);printf;10;false;yes;
/web/cgi-bin/config/sensor_reset.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/mydlink/dcp (-rwxr-xr-x root root);sprintf;74;false;yes;
/mydlink/upnpc-ddns (-rwxr-xr-x root root);printf;364;false;yes;
/web/cgi-bin/config/notify_stream.cgi (-rwxr-xr-x root root);sprintf;14;false;no;
/mydlink/tsa (-rwxr-xr-x root root);sprintf;14;false;yes;
/web/httpd (-rwxr-xr-x root root);sprintf;10;true;no;
/web/cgi-bin/config/user_mod.cgi (-rwxr-xr-x root root);strcpy;4;false;no;
/server/camsvr (-rwxr-xr-x root root);printf;114;false;no;
/mydlink/signalc (-rwxr-xr-x root root);sprintf;9;false;yes;
/web/cgi-bin/config/sensor_reset.cgi (-rwxr-xr-x root root);system;2;false;no;
/mydlink/dcp (-rwxr-xr-x root root);strcat;5;false;yes;
/mydlink/upnpc-ddns (-rwxr-xr-x root root);sprintf;18;false;yes;
/mydlink/tsa (-rwxr-xr-x root root);strcpy;1;false;yes;
/web/cgi-bin/config/user_mod.cgi (-rwxr-xr-x root root);system;6;false;no;
/web/httpd (-rwxr-xr-x root root);strcpy;8;true;no;
/server/camsvr (-rwxr-xr-x root root);sprintf;5;false;no;
/web/cgi-bin/config/stream_auth.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/mydlink/signalc (-rwxr-xr-x root root);strcat;4;false;yes;
/mydlink/dcp (-rwxr-xr-x root root);strcpy;21;false;yes;
/mydlink/upnpc-ddns (-rwxr-xr-x root root);strcpy;17;false;yes;
/web/cgi-bin/config/audio.cgi (-rwxr-xr-x root root);fprintf;18;false;no;
/web/httpd (-rwxr-xr-x root root);system;1;true;no;
/mydlink/signalc (-rwxr-xr-x root root);strcpy;4;false;yes;
/web/cgi-bin/config/network.cgi (-rwxr-xr-x root root);fprintf;17;false;no;
/web/cgi-bin/config/stream_auth.cgi (-rwxr-xr-x root root);system;6;false;no;
/web/cgi-bin/config/datetime.cgi (-rwxr-xr-x root root);fprintf;14;false;no;
/mydlink/dcp (-rwxr-xr-x root root);system;3;false;yes;
/web/cgi-bin/config/system_reset.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/stream_info.cgi (-rwxr-xr-x root root);fprintf;45;false;no;
/web/cgi-bin/config/audio.cgi (-rwxr-xr-x root root);system;1;false;no;
/mydlink/signalc (-rwxr-xr-x root root);system;1;false;yes;
/web/cgi-bin/config/led.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/network.cgi (-rwxr-xr-x root root);strcpy;1;false;no;
/web/cgi-bin/config/datetime.cgi (-rwxr-xr-x root root);sprintf;13;false;no;
/web/cgi-bin/config/pppoe.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/httpport.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/web/cgi-bin/config/system_reset.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/stream_info.cgi (-rwxr-xr-x root root);sprintf;3;false;no;
/web/cgi-bin/config/network.cgi (-rwxr-xr-x root root);system;10;false;no;
/web/cgi-bin/config/led.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/config/motion.cgi (-rwxr-xr-x root root);fprintf;4;false;no;
/web/cgi-bin/config/datetime.cgi (-rwxr-xr-x root root);system;8;false;no;
/web/cgi-bin/config/sensor_info.cgi (-rwxr-xr-x root root);fprintf;20;false;no;
/web/cgi-bin/config/pppoe.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/stream_info.cgi (-rwxr-xr-x root root);strcat;2;false;no;
/web/cgi-bin/config/httpport.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/sensor_output.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/scheduled_reboot.cgi (-rwxr-xr-x root root);fprintf;4;false;no;
/web/cgi-bin/config/motion.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/wlansignal.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/web/cgi-bin/config/wireless_ap.cgi (-rwxr-xr-x root root);fprintf;3;false;no;
/web/cgi-bin/config/group_list.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/rtspurl.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/sensor.cgi (-rwxr-xr-x root root);fprintf;12;false;no;
/web/cgi-bin/config/scheduled_reboot.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/config/irled.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/https.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/wireless_ap.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/config/group_list.cgi (-rwxr-xr-x root root);strcpy;3;false;no;
/web/cgi-bin/config/ddns.cgi (-rwxr-xr-x root root);fprintf;6;false;no;
/web/cgi-bin/config/wps.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/rtspurl.cgi (-rwxr-xr-x root root);system;3;false;no;
/web/cgi-bin/config/scheduled_reboot.cgi (-rwxr-xr-x root root);strcpy;4;false;no;
/web/cgi-bin/config/sensor.cgi (-rwxr-xr-x root root);system;2;false;no;
/web/cgi-bin/config/irled.cgi (-rwxr-xr-x root root);system;4;false;no;
/web/cgi-bin/config/https.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/wireless.cgi (-rwxr-xr-x root root);fprintf;28;false;no;
/web/cgi-bin/config/ddns.cgi (-rwxr-xr-x root root);strcpy;1;false;no;
/web/cgi-bin/config/timestamp.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/scheduled_reboot.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/icr.cgi (-rwxr-xr-x root root);fprintf;7;false;no;
/web/cgi-bin/config/wlansurvey.cgi (-rwxr-xr-x root root);fprintf;23;false;no;
/web/cgi-bin/config/audio_detection.cgi (-rwxr-xr-x root root);fprintf;3;false;no;
/web/cgi-bin/config/system_reboot.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/wireless.cgi (-rwxr-xr-x root root);sprintf;2;false;no;
/web/cgi-bin/config/ddns.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/user_del.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/web/cgi-bin/config/timestamp.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/icr.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/config/user_list.cgi (-rwxr-xr-x root root);fprintf;3;false;no;
/web/cgi-bin/config/event_log.cgi (-rwxr-xr-x root root);fprintf;1;false;no;
/web/cgi-bin/config/audio_detection.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/wireless.cgi (-rwxr-xr-x root root);strcpy;2;false;no;
/web/cgi-bin/config/video.cgi (-rwxr-xr-x root root);fprintf;17;false;no;
/web/cgi-bin/config/icr.cgi (-rwxr-xr-x root root);system;11;false;no;
/web/cgi-bin/config/camera_info.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/user_del.cgi (-rwxr-xr-x root root);strcpy;1;false;no;
/web/cgi-bin/config/video_type.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/user_list.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/config/event_log.cgi (-rwxr-xr-x root root);sprintf;1;false;no;
/web/cgi-bin/config/wireless.cgi (-rwxr-xr-x root root);system;1;false;no;
/web/cgi-bin/config/mic.cgi (-rwxr-xr-x root root);fprintf;2;false;no;
/web/cgi-bin/config/video.cgi (-rwxr-xr-x root root);sprintf;3;false;no;
/web/cgi-bin/config/user_del.cgi (-rwxr-xr-x root root);system;6;false;no;
/web/cgi-bin/config/camera_info.cgi (-rwxr-xr-x root root);system;2;false;no;
